source,target,label
박지원,정사(박명원),자제군관이자 사종동생이다.
시대,정사(박명원),마두이다.
노참봉(노이점),정사(박명원),상방비장이다.
정진사(정각),정사(박명원),상방비장이다.
주주부(주명신),정사(박명원),상방비장이다.
부사(정원시),정사(박명원),삼사신 중 부사이다.
변계함,정사(박명원),의원이다.
김진하,정사(박명원),역관이다.
이혜적,정사(박명원),역관이다.
홍명복,정사(박명원),수석역관이다.
조주부(조명회),정사(박명원),주부이다.
조달동,정사(박명원),판사이다.
만윤,정사(박명원),의주 부윤(이재학)이다.
장계,정사(박명원),하인이다.
상판사,정사(박명원),판사이다.
서장관(조정진),정사(박명원),삼사신 중 서장관이다.
전배군관,정사(박명원),전배이다.
조주부(조학동),정사(박명원),건량판사이다.
창대,박지원,마부이다.
장복,박지원,하인이다.
내원,박지원,삼종제이다.
이서귀,부사(정원시),비장이다.
득룡,상판사,마두이다.
상삼,상판사,마두이다.
대종,변계함,마두이다.
이학령,정진사(정각),하인이다.
태복,정진사(정각),마두이다.
